"2022-03-30 at 14:38"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
14:46:25 66.28 51.73 101.49
14:46:26 58.93 51.73 101.49
14:46:27 51.57 51.76 101.51
14:46:28 44.94 51.73 101.51
14:46:29 39.17 51.73 101.51
14:46:30 33.54 51.73 101.51
14:46:31 29.67 51.76 101.51
14:46:32 25.56 51.73 101.51
14:46:33 21.97 51.73 101.51
14:46:34 19.26 51.73 101.51
14:46:35 16.98 51.73 101.51
14:46:36 14.88 51.73 101.51
14:46:37 12.60 51.73 101.51
14:46:38 11.34 51.73 101.51
14:46:39 9.74 51.73 101.51
14:46:40 8.60 51.73 101.51
14:46:41 7.86 51.73 101.51
14:46:42 6.34 51.73 101.51
14:46:43 6.16 51.76 101.51
14:46:45 4.92 51.73 101.51
14:46:46 4.91 51.73 101.51
14:46:47 4.15 51.73 101.51
14:46:48 3.26 51.73 101.51
14:46:49 3.36 51.73 101.51
14:46:50 3.18 51.73 101.51
14:46:51 2.74 51.73 101.51
14:46:52 2.53 51.73 101.51
14:46:53 2.15 51.76 101.51
14:46:54 1.87 51.76 101.51
14:46:55 2.31 51.73 101.51
14:46:56 2.03 51.73 101.51
14:46:57 1.53 51.73 101.51
14:46:58 1.55 51.76 101.51
14:46:59 1.39 51.73 101.51
14:47:00 0.98 51.73 101.51
14:47:01 1.36 51.76 101.51
14:47:02 1.44 51.73 101.51
14:47:03 0.86 51.73 101.51
14:47:04 1.22 51.73 101.51
14:47:05 0.79 51.73 101.51
14:47:06 1.28 51.73 101.51
14:47:07 0.92 51.73 101.51
14:47:08 0.92 51.73 101.51
14:47:09 0.90 51.73 101.51
14:47:10 0.36 51.73 101.51
14:47:11 1.03 51.73 101.51
14:47:12 0.74 51.73 101.51
14:47:13 0.95 51.76 101.51
14:47:14 1.21 51.73 101.51
14:47:15 5.08 51.73 101.51
14:47:16 18.37 51.73 101.51
14:47:17 40.63 51.73 101.51
14:47:18 68.32 51.73 101.51
14:47:19 96.63 51.73 101.49
14:47:20 121.30 51.73 101.49
14:47:21 142.97 51.73 101.51
14:47:22 161.92 51.73 101.51
14:47:23 176.66 51.73 101.51
14:47:24 187.35 51.73 101.51
14:47:25 193.13 51.73 101.51
14:47:26 191.20 51.73 101.51
14:47:27 183.12 51.73 101.51
14:47:28 169.84 51.73 101.51
14:47:29 153.40 51.73 101.51
14:47:30 136.00 51.73 101.51
14:47:31 118.62 51.73 101.51
14:47:32 103.45 51.73 101.51
14:47:33 90.00 51.73 101.51
14:47:34 77.94 51.73 101.51
14:47:35 67.67 51.73 101.51
14:47:36 58.63 51.73 101.51
14:47:37 50.91 51.76 101.51
14:47:38 44.66 51.76 101.51
14:47:39 37.99 51.73 101.51
14:47:40 33.22 51.73 101.51
14:47:41 29.38 51.73 101.51
14:47:42 24.92 51.73 101.51
14:47:43 23.70 51.73 101.51
14:47:44 20.64 51.73 101.51
14:47:45 18.32 51.73 101.51
14:47:46 15.62 51.73 101.51
14:47:47 13.35 51.73 101.51
14:47:48 11.86 51.73 101.51
14:47:49 10.15 51.73 101.51
14:47:50 9.25 51.73 101.51
14:47:51 7.82 51.73 101.51
14:47:52 7.05 51.73 101.51
14:47:53 6.10 51.73 101.51
14:47:54 5.27 51.73 101.51
14:47:55 5.06 51.73 101.51
14:47:57 4.30 51.73 101.51
14:47:58 3.85 51.73 101.51
14:47:59 3.46 51.73 101.51
14:48:00 3.42 51.73 101.51
14:48:01 2.64 51.76 101.51
14:48:02 2.63 51.76 101.51
14:48:03 2.31 51.73 101.51
14:48:04 2.14 51.73 101.51
14:48:05 1.93 51.73 101.49
14:48:06 1.92 51.76 101.49
14:48:07 1.22 51.76 101.51
14:48:08 1.48 51.73 101.51
14:48:09 1.58 51.73 101.51
14:48:10 1.19 51.73 101.51
14:48:11 0.77 51.73 101.51
14:48:12 1.03 51.73 101.51
14:48:13 1.10 51.73 101.51
14:48:14 1.58 51.73 101.51
14:48:15 0.87 51.73 101.51
14:48:16 1.20 51.73 101.51
14:48:17 1.15 51.73 101.51
14:48:18 1.39 51.73 101.51
14:48:19 0.74 51.73 101.51
14:48:20 1.09 51.73 101.51
14:48:21 0.85 51.73 101.51
14:48:22 2.37 51.73 101.51
14:48:23 10.75 51.73 101.51
14:48:24 28.57 51.73 101.51
14:48:25 55.06 51.73 101.51
14:48:26 84.02 51.73 101.51
14:48:27 110.55 51.73 101.51
14:48:28 134.54 51.73 101.51
14:48:29 154.59 51.76 101.51
14:48:30 171.04 51.76 101.51
14:48:31 184.46 51.76 101.51
14:48:32 192.83 51.73 101.51
14:48:33 195.07 51.73 101.51
14:48:34 190.13 51.73 101.51
14:48:35 178.89 51.73 101.51
14:48:36 163.05 51.73 101.51
14:48:37 146.30 51.76 101.51
14:48:38 137.39 51.73 101.51
14:48:39 119.74 51.73 101.51
14:48:40 104.72 51.73 101.51
14:48:41 90.68 51.73 101.51
14:48:42 79.12 51.76 101.51
14:48:43 67.91 51.73 101.51
14:48:44 58.91 51.73 101.51
14:48:45 50.98 51.73 101.51
14:48:46 45.09 51.73 101.49
14:48:47 38.95 51.73 101.49
14:48:48 33.71 51.73 101.49
14:48:49 29.28 51.73 101.51
14:48:50 26.11 51.73 101.51
14:48:51 21.84 51.73 101.51
14:48:52 19.48 51.76 101.51
14:48:53 17.24 51.73 101.51
14:48:54 14.91 51.73 101.51
14:48:55 12.60 51.76 101.51
14:48:56 11.54 51.73 101.51
14:48:57 9.74 51.73 101.51
14:48:58 8.71 51.73 101.51
14:48:59 7.67 51.73 101.51
14:49:00 6.77 51.73 101.51
14:49:01 5.51 51.76 101.51
14:49:02 5.34 51.76 101.51
